paperId,venue
ad7019eba4380a35c347f7ed7acd040800e14305,Vision Research
ad6154c161112ef126182d0b0122d6b57e6d692e,Frontiers in Human Neuroscience
eecc43d31aede959c78130fa441b53f20c32a4df,Frontiers in Psychology
ac6824b1f826ed055d050e478671aa81416c639c,Journal of Vision
c102b22b59f3d59c3e78c33fbe29962eda46c2c5,International Workshop on Quality of Multimedia Experience
ad2c0ae801c9e8adece483e74725e12a8544d440,2013 IEEE Conference on Computer Vision and Pattern Recognition
55c9cc6666a5c79fb01d5bbcc118c1ee6fdd8919,
fee8eb18a4903c965e7cba1df3abfe6aa0620a6a,Journal of Neuroscience
f777d057cc583403a05f6bcac52709325f4f2c1d,
75b63435340f3f932122c322d438752361c93826,IEICE Trans. Inf. Syst.
1e459d6df9faa26932c28dc795762cf7264e6e9a,Cognition
8bf92f5ad8392ef0b2fd15b4d438d5e56bb5ba6d,Quarterly Journal of Experimental Psychology
4953e65f52322b18224e7a89986769c5fa6f6b60,ACM Multimedia
bef862006a045d846d716346b0d27d3ca6cbf21b,European Conference on Computer Vision
f1c992d50d090fb4df655848ced2586d7eed0fb5,Experimental Brain Research
9565afc0b37df993f29fa2918ef00d98b739b2bf,Optometry and Vision Science
b69fbf046faf685655b5fa52fef07fb77e75eff4,Journal of Vision
0888fb9802226f8fe9540b4e8f6fd715b8c72723,Journal of Vision
d14e12678f2c879ba9e25aa6f8251e6e11251338,Journal of Vision
6666ffdc35f3b80f291b63e62fdcc29462662c47,2012 IEEE Conference on Computer Vision and Pattern Recognition
f90ab3a6ea299ed49b54a6a57e62c4a8efa17736,IEEE International Conference on Robotics and Automation
730033f18e5b41862c442fad8e87b1b8970ec7de,
936e81a15162d2b5bcbe9e4004b5e12237bae11f,Visual Cognition
764445d17c7a6646414c77a8074d76c4c1594e35,Journal of Experimental Psychology: Human Perception and Performance
0f836a6cd1b63bded438d28e34c07d1d15bea0cb,Cognition
daef3fdc4190927c063ae94c12437cf82a6d1c20,
168352293ba2f197e585c1940a7120e1c2a6c242,Journal of Vision
c5228fc4b6743a17fe77307a1d824f1cd1b0f3fa,ACM Multimedia
d541e27ba9eed05238f05424e1c63b14a16e60a4,Perception
930006208a78e721a41ebc86d77bbe3ac0044330,The 2011 International Joint Conference on Neural Networks
a6f6cdb62e4d13c2b0adc195881c5a30396a2a94,PLoS ONE
c77ce62b51a123ca36728424491d95462ef8bb78,Quarterly Journal of Experimental Psychology
19630517a943c07df6ea21aba9a4cdb4e731abe2,Journal of Vision
cf7b707249e7fbc0247b7a746f56b25817a2be37,Experimental Brain Research
66374ef6689cea7cddb1734a5b7dd9ec2f46599d,
4feaef5c2034c1abfa174320283148cf2daeb05c,
2abbda7559ce3d0eb72fbaf55de729e5e6557cd5,"Attention, perception & psychophysics"
399288c0dd3d8431aa433d5e606858882ad496a0,Psychonomic Bulletin & Review
46b64c83bc74a14a4eabf2f9bf839802adb5acbf,Journal of Vision
119cdc6ff080c2490af41654a7f2223cc55d27de,Journal of Vision
02c9ec70a299ba65f051c5a2be3642dbea3a0315,Trends in Neurosciences
b380725466e69717ab4c2520c80cff4bba2cc05c,Journal of Vision
bd03b0e7c6b5aa6f3c1847d03df2b9ec2fb51893,Trends in Cognitive Sciences
d8c306e0940cb9089740bac971c7905ee59be6ad,Journal of Vision
9e61a10d2a905b694a8e10e82ee9571dcd9b52d6,Trends in Cognitive Sciences
55f4c7b6cbf970f42eaf12e2aa2827dc27e66d06,Journal of Vision
4d7b66a123135d37689005816aa15ab31167b6d3,ACCV Workshops
b46533abc845057d02e4bbd78effb46b340b4d70,Vision Research
3280e55d450e2fdebef4c2d07a2ff8b3689b6f3b,2010 IEEE 9th International Conference on Development and Learning
1472d023c79e4aa5a6308a7af092b95fb15b61fd,IEEE Transactions on Autonomous Mental Development
6a807aa78e6192b3e986d73eaec4d57427ca89a0,
14ccc2877a94cdafadd65245ded9b41f7673cee6,Journal of Vision
4d5b9b2977335783f738d9006af9880b21dcf5af,"Attention, perception & psychophysics"
4dd4eec55c21a7e5a8bd1ced6e2afed04907cee0,Perception
f1180fd84bf9192ec1e85aa8d424666dab3fd71b,Current Opinion in Neurobiology
2625107f912ed0f20c55b824803e7135b6c91831,PLoS Comput. Biol.
1ff97ba12e4b89cef09bdb7599f1013122dafb09,
87f5424cdd66950866b8f6ccd9e80af2c4754aaf,
7d8a1b7eb7ee1a9089f3a62f745232baf95d701e,Journal of Vision
4da6d9770965b74515227a3a63888a442b425635,
86f9fa13face039d3d1e6e34407ee81e425e8489,Journal of Vision
4be0398efbf5b54b039f9a5b9bbc2b673fa248a7,Cognitive Neurodynamics
c7614898de1cfee1a3a1c564f52c1e67879c29b3,IEEE International Conference on Computer Vision
6f7e567d1802a02406571bb45732465fc9acca16,Vision Research
59ae65b363187bbf1fbd27a2a7a744c56ecffcb4,
022a5e5622b54b6eed2d84d70a3294b591a61abc,
1f55c7886bd3812388478c5646be5dcc6f436a6a,
20d43cd6f21c0f3759e09ce9ffe31569e44f7a0c,British Machine Vision Conference
d0943cbac16fe4662218355aa8591e33d49eb1ec,AACL/IJCNLP
944894f379789295074aeb2e1d90d6640d5fcaeb,HCINLP
802caded80aa8ee3dcce60c9965e34660c3ff2a2,
0ea9bcec15ab70bc333899a87b42a0c30090a96a,
6ef4cc8126a312c5e4be1190e28238dc46f50aec,International Conference on Image Analysis and Recognition
bb6a1cab0cfd4adc3de102eb8835d40ffd99874c,
0b91677d959ce2a5514bc0887532534dd77f01cf,International Workshop on Web and Wireless Geographical Information Systems
9eb2c4302f95920fb6fe00f3442453c5dab4635f,
18a0e9f0c2a0ec455938f17efe0d6c729cdb25b3,International Workshop on Web and Wireless Geographical Information Systems
729b5265c6552d401d68e385675fa52cd60973ff,
2518688b604761a873b14843c458aa5c1cf4f575,Neural Information Processing Systems
415ab4c652cbbd2dc66529c8e5674add5a32af32,VISIGRAPP
cadcd75cee1d7844c4eb5f59eb417180fb95a021,2019 Conference on Cognitive Computational Neuroscience
450d390dadc7daa187dc28a1663eb83fa3fd8e22,
22894791cb1e139177cef3fbb1ebda417a4b549f,International Journal of Computer Vision
fe93ac479bd21078878fdce3ea78bb75bf09946f,IEEE Transactions on Geoscience and Remote Sensing
b946c920852c1943c372c3ac87ac39ef152c460d,International Symposium on Combinatorial Optimization
3d2fe9cc02390686e8c1fc297070138c0a05d6f5,
235714eb00fbb9aac753855429cd516d365eceae,Neural Information Processing Systems
ebf7ed2d69bd6f6c7de048e1c1391cc97ec65a1e,
31234933ad8cfcb3b525b6f02a082187a6a36118,Journal of Vision
4806b41de126842c2bb5c382827cfe990f4d5a31,J. Electronic Imaging
5ae090908287c095ba217c4c29d99042498e4e95,
c89d3b0945d60697dbfd2a93e2dba30f767eb0a4,
d8fea6d07b4d623aa35c5e7ce171adfb1f1a5189,Journal of Vision
8c4b766211c6572e141039832bcd8e060cf3551e,
6c933a558af4267a2a95049b9d30c7f9cf84606d,
7ea881a32f0dc1e613c6de2d5fd9ea46983d95f0,Semantic Web Technologies for Intelligent Engineering Applications
56c64687489f67f466ee2c41fba826c5e1521b48,
ac7fb57a6a4f15f82835565908e96117a246f4d3,
6a6e41a546c2b437d167abae449fffeba5a10d90,
e53373bf877425de8ac1d0501db6ab4da3e1eab2,Intelligence and Security Informatics
ef2fcedde81f9e1c7ce0d43f8fb4f1999e0ce4e6,
df209a5556e77ec099ab1d1ff4b25c873eb64dc5,"Attention, perception & psychophysics"
89dd3e051cfd5cc137a1865432b78ce911553aba,
de4bcded33b562a8af7f601d17c3202965eb4034,
7436a9c9ba8800401eca6827eca00abf2f2a6921,
633e1ba9a1781cf0173435ee043f2d4ae2dc4c28,
63da9079437f6090b44eec60ec3986c25c13be73,British Machine Vision Conference
142ab7253bbf1d0144faa741d0c5c83033b362bc,
f3b27eb1a96264512156ad84653be9917420820c,
b8ad8a9da1ba24205e0599331093f8b44d688b7a,Adv. Multim.
85d7c44569903007fcdd9db113ab7825d20f09af,International Conference on Intelligent Human Computer Interaction
13914a76bf228b694d6cdc038c985e72a444214c,
